"District","District Code","Gender","Count","%"
"Regional School District 17","=""2170012""","Female",18,1.6
"Regional School District 17","=""2170012""","Male",68,5.7
"Regional School District 18","=""2180012""","Female","*","*"
"Regional School District 18","=""2180012""","Male","*","*"
"Regional School District 19","=""2190012""","Female",17,2.8
"Regional School District 19","=""2190012""","Male",56,9.5
"Ridgefield School District","=""1180011""","Female",6,0.2
"Ridgefield School District","=""1180011""","Male",57,2.1
"Rocky Hill School District","=""1190011""","Female",13,1.1
"Rocky Hill School District","=""1190011""","Male",33,2.7
"Salem School District","=""1210011""","Female","*","*"
"Salem School District","=""1210011""","Male","*","*"
"Salisbury School District","=""1220011""","Female","*","*"
"Salisbury School District","=""1220011""","Male","*","*"
"Scotland School District","=""1230011""","Female","*","*"
"Scotland School District","=""1230011""","Male","*","*"
"Seymour School District","=""1240011""","Female",59,5.2
"Seymour School District","=""1240011""","Male",157,13.1
"Sharon School District","=""1250011""","Female","*","*"
"Sharon School District","=""1250011""","Male","*","*"
"Shelton School District","=""1260011""","Female",77,3.2
"Shelton School District","=""1260011""","Male",198,7.7
"Sherman School District","=""1270011""","Female","*","*"
"Sherman School District","=""1270011""","Male","*","*"
"Side By Side Charter School District","=""2700013""","Female","*","*"
"Side By Side Charter School District","=""2700013""","Male","*","*"
"Simsbury School District","=""1280011""","Female",18,0.9
"Simsbury School District","=""1280011""","Male",56,2.4
"Somers School District","=""1290011""","Female",12,1.6
"Somers School District","=""1290011""","Male",37,4.8
"South Windsor School District","=""1320011""","Female",40,1.9
"South Windsor School District","=""1320011""","Male",111,5.0
"Southington School District","=""1310011""","Female",45,1.4
"Southington School District","=""1310011""","Male",162,4.7
"Sprague School District","=""1330011""","Female","*","*"
"Sprague School District","=""1330011""","Male","*","*"
"Stafford School District","=""1340011""","Female",27,3.3
"Stafford School District","=""1340011""","Male",67,8.1
"Stamford Academy District","=""2820013""","Female",22,39.3
"Stamford Academy District","=""2820013""","Male",34,45.3
"Stamford School District","=""1350011""","Female",150,1.9
"Stamford School District","=""1350011""","Male",342,4.1
"Sterling School District","=""1360011""","Female",6,2.8
"Sterling School District","=""1360011""","Male",28,10.5
"Stonington School District","=""1370011""","Female",43,3.8
"Stonington School District","=""1370011""","Male",104,8.6
"Stratford School District","=""1380011""","Female",132,3.7
"Stratford School District","=""1380011""","Male",328,8.7
"Suffield School District","=""1390011""","Female",20,1.6
"Suffield School District","=""1390011""","Male",59,5.0
"The Bridge Academy District","=""2690013""","Female",8,5.8
"The Bridge Academy District","=""2690013""","Male",31,24.0
"The Gilbert School District","=""9020022""","Female",47,20.4
"The Gilbert School District","=""9020022""","Male",103,32.1
"Thomaston School District","=""1400011""","Female",12,2.6
"Thomaston School District","=""1400011""","Male",41,8.5
"Thompson School District","=""1410011""","Female",16,3.1
"Thompson School District","=""1410011""","Male",51,9.3
"Tolland School District","=""1420011""","Female",18,1.4
"Tolland School District","=""1420011""","Male",65,4.6
"Torrington School District","=""1430011""","Female",94,4.6
"Torrington School District","=""1430011""","Male",298,12.6
"Trailblazers Academy District","=""2780013""","Female","*","*"
"Trailblazers Academy District","=""2780013""","Male","*","*"
"Trumbull School District","=""1440011""","Female",12,0.4
"Trumbull School District","=""1440011""","Male",93,2.7
"Unified School District #1","=""3360015""","Female","N/A","N/A"
"Unified School District #1","=""3360015""","Male","N/A","N/A"
"Unified School District #2","=""3470015""","Female","*","*"
"Unified School District #2","=""3470015""","Male","*","*"
"Union School District","=""1450011""","Female","N/A","N/A"
"Union School District","=""1450011""","Male","N/A","N/A"
"Vernon School District","=""1460011""","Female",110,6.7
"Vernon School District","=""1460011""","Male",184,10.6
"Voluntown School District","=""1470011""","Female","N/A","N/A"
"Voluntown School District","=""1470011""","Male","*","*"
"Wallingford School District","=""1480011""","Female",82,2.6
"Wallingford School District","=""1480011""","Male",250,8.1
"Waterbury School District","=""1510011""","Female",1363,14.8
"Waterbury School District","=""1510011""","Male",2345,24.0
"Waterford School District","=""1520011""","Female",47,3.8
"Waterford School District","=""1520011""","Male",104,7.9
"Watertown School District","=""1530011""","Female",74,5.2
"Watertown School District","=""1530011""","Male",171,11.2
"West Hartford School District","=""1550011""","Female",101,2.1
"West Hartford School District","=""1550011""","Male",282,5.5
"West Haven School District","=""1560011""","Female",163,5.6
"West Haven School District","=""1560011""","Male",321,10.3
"Westbrook School District","=""1540011""","Female","*","*"
"Westbrook School District","=""1540011""","Male","*","*"
"Weston School District","=""1570011""","Female","*","*"
"Weston School District","=""1570011""","Male","*","*"
"Westport School District","=""1580011""","Female",14,0.5
"Westport School District","=""1580011""","Male",75,2.5
"Wethersfield School District","=""1590011""","Female",35,1.9
"Wethersfield School District","=""1590011""","Male",86,4.6
"Willington School District","=""1600011""","Female","*","*"
"Willington School District","=""1600011""","Male","*","*"
"Wilton School District","=""1610011""","Female","*","*"
"Wilton School District","=""1610011""","Male","*","*"
"Winchester School District","=""1620011""","Female","*","*"
"Winchester School District","=""1620011""","Male","*","*"
"Windham School District","=""1630011""","Female",198,13.0
"Windham School District","=""1630011""","Male",366,21.2
"Windsor Locks School District","=""1650011""","Female",41,5.0
"Windsor Locks School District","=""1650011""","Male",78,8.7
"Windsor School District","=""1640011""","Female",132,8.3
"Windsor School District","=""1640011""","Male",255,14.6
"Wolcott School District","=""1660011""","Female",30,2.5
"Wolcott School District","=""1660011""","Male",97,7.5
"Woodbridge School District","=""1670011""","Female","N/A","N/A"
"Woodbridge School District","=""1670011""","Male","*","*"
"Woodstock Academy District","=""9030022""","Female",15,2.9
"Woodstock Academy District","=""9030022""","Male",37,7.2
"Woodstock School District","=""1690011""","Female",6,1.3
"Woodstock School District","=""1690011""","Male",9,2.0

