"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Ansonia School District","900901220","2009-2010","Male","Suspensions","Percent","12.7"
"Ansonia School District","900901220","2010-2011","Female","Suspensions","Percent","5.3"
"Ansonia School District","900901220","2010-2011","Male","Suspensions","Percent","13.6"
"Ansonia School District","900901220","2011-2012","Female","Suspensions","Percent","6.5"
"Ansonia School District","900901220","2011-2012","Male","Suspensions","Percent","11.9"
"Ansonia School District","900901220","2012-2013","Female","Suspensions","Percent","5.9"
"Ansonia School District","900901220","2012-2013","Male","Suspensions","Percent","12.0"
"Ansonia School District","900901220","2013-2014","Female","Suspensions","Percent","4.7"
"Ansonia School District","900901220","2013-2014","Male","Suspensions","Percent","11.3"
"Ansonia School District","900901220","2014-2015","Female","Suspensions","Percent","4.7"
"Ansonia School District","900901220","2014-2015","Male","Suspensions","Percent","9.2"
"Ansonia School District","900901220","2015-2016","Female","Suspensions","Percent","5.5"
"Ansonia School District","900901220","2015-2016","Male","Suspensions","Percent","10.6"
"Ansonia School District","900901220","2016-2017","Female","Suspensions","Percent","8.7"
"Ansonia School District","900901220","2016-2017","Male","Suspensions","Percent","14.1"
"Ansonia School District","900901220","2017-2018","Female","Suspensions","Percent","6.9"
"Ansonia School District","900901220","2017-2018","Male","Suspensions","Percent","13.8"
"Ansonia School District","900901220","2018-2019","Female","Suspensions","Percent","10.0"
"Ansonia School District","900901220","2018-2019","Male","Suspensions","Percent","17.3"
"Ansonia School District","900901220","2019-2020","Female","Suspensions","Percent","6.5"
"Ansonia School District","900901220","2019-2020","Male","Suspensions","Percent","12.2"
"Area Cooperative Educational Services","","2009-2010","Female","Suspensions","Percent","14.4"
"Area Cooperative Educational Services","","2009-2010","Male","Suspensions","Percent","23.6"
"Area Cooperative Educational Services","","2010-2011","Female","Suspensions","Percent","8.6"
"Area Cooperative Educational Services","","2010-2011","Male","Suspensions","Percent","21.6"
"Area Cooperative Educational Services","","2011-2012","Female","Suspensions","Percent","8.6"
"Area Cooperative Educational Services","","2011-2012","Male","Suspensions","Percent","19.7"
"Area Cooperative Educational Services","","2012-2013","Female","Suspensions","Percent","9.5"
"Area Cooperative Educational Services","","2012-2013","Male","Suspensions","Percent","17.7"
"Area Cooperative Educational Services","","2013-2014","Female","Suspensions","Percent","10.4"
"Area Cooperative Educational Services","","2013-2014","Male","Suspensions","Percent","15.9"
"Area Cooperative Educational Services","","2014-2015","Female","Suspensions","Percent","9.1"
"Area Cooperative Educational Services","","2014-2015","Male","Suspensions","Percent","15.6"
"Area Cooperative Educational Services","","2015-2016","Female","Suspensions","Percent","9.1"
"Area Cooperative Educational Services","","2015-2016","Male","Suspensions","Percent","15.4"
"Area Cooperative Educational Services","","2016-2017","Female","Suspensions","Percent","10.3"
"Area Cooperative Educational Services","","2016-2017","Male","Suspensions","Percent","17.1"
"Area Cooperative Educational Services","","2017-2018","Female","Suspensions","Percent","9.0"
"Area Cooperative Educational Services","","2017-2018","Male","Suspensions","Percent","16.4"
"Area Cooperative Educational Services","","2018-2019","Female","Suspensions","Percent","10.4"
"Area Cooperative Educational Services","","2018-2019","Male","Suspensions","Percent","20.4"
"Area Cooperative Educational Services","","2019-2020","Female","Suspensions","Percent","8.0"
"Area Cooperative Educational Services","","2019-2020","Male","Suspensions","Percent","14.9"
"Ashford School District","","2009-2010","Female","Suspensions","Percent","-6666"
"Ashford School District","","2009-2010","Male","Suspensions","Percent","3.5"
"Ashford School District","","2010-2011","Female","Suspensions","Percent","-9999"
"Ashford School District","","2010-2011","Male","Suspensions","Percent","-9999"
"Ashford School District","","2011-2012","Female","Suspensions","Percent","-9999"
"Ashford School District","","2011-2012","Male","Suspensions","Percent","-9999"
"Ashford School District","","2012-2013","Female","Suspensions","Percent","-9999"
"Ashford School District","","2012-2013","Male","Suspensions","Percent","-9999"
"Ashford School District","","2013-2014","Female","Suspensions","Percent","-9999"
"Ashford School District","","2013-2014","Male","Suspensions","Percent","-9999"
"Ashford School District","","2014-2015","Female","Suspensions","Percent","-9999"
"Ashford School District","","2014-2015","Male","Suspensions","Percent","-9999"
"Ashford School District","","2015-2016","Female","Suspensions","Percent","-9999"
"Ashford School District","","2015-2016","Male","Suspensions","Percent","-9999"
"Ashford School District","","2016-2017","Female","Suspensions","Percent","-9999"
"Ashford School District","","2016-2017","Male","Suspensions","Percent","-9999"
"Ashford School District","","2017-2018","Female","Suspensions","Percent","-9999"
"Ashford School District","","2017-2018","Male","Suspensions","Percent","-9999"
"Ashford School District","","2018-2019","Female","Suspensions","Percent","-9999"
"Ashford School District","","2018-2019","Male","Suspensions","Percent","-9999"
"Ashford School District","","2019-2020","Female","Suspensions","Percent","-9999"
"Ashford School District","","2019-2020","Male","Suspensions","Percent","-9999"
"Avon School District","900302060","2009-2010","Female","Suspensions","Percent","0.7"
"Avon School District","900302060","2009-2010","Male","Suspensions","Percent","4.0"
"Avon School District","900302060","2010-2011","Female","Suspensions","Percent","0.7"
"Avon School District","900302060","2010-2011","Male","Suspensions","Percent","2.3"
"Avon School District","900302060","2011-2012","Female","Suspensions","Percent","1.3"
"Avon School District","900302060","2011-2012","Male","Suspensions","Percent","2.3"
"Avon School District","900302060","2012-2013","Female","Suspensions","Percent","1.5"
"Avon School District","900302060","2012-2013","Male","Suspensions","Percent","3.0"
"Avon School District","900302060","2013-2014","Female","Suspensions","Percent","1.2"
"Avon School District","900302060","2013-2014","Male","Suspensions","Percent","3.0"
"Avon School District","900302060","2014-2015","Female","Suspensions","Percent","1.1"
"Avon School District","900302060","2014-2015","Male","Suspensions","Percent","2.4"
"Avon School District","900302060","2015-2016","Female","Suspensions","Percent","1.2"
"Avon School District","900302060","2015-2016","Male","Suspensions","Percent","2.4"
"Avon School District","900302060","2016-2017","Female","Suspensions","Percent","0.6"
"Avon School District","900302060","2016-2017","Male","Suspensions","Percent","3.0"
"Avon School District","900302060","2017-2018","Female","Suspensions","Percent","1.4"
"Avon School District","900302060","2017-2018","Male","Suspensions","Percent","4.8"
"Avon School District","900302060","2018-2019","Female","Suspensions","Percent","1.4"
"Avon School District","900302060","2018-2019","Male","Suspensions","Percent","3.7"
"Avon School District","900302060","2019-2020","Female","Suspensions","Percent","0.9"
"Avon School District","900302060","2019-2020","Male","Suspensions","Percent","1.8"
"Barkhamsted School District","","2009-2010","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2009-2010","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2010-2011","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2010-2011","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2011-2012","Female","Suspensions","Percent","-9999"
"Barkhamsted School District","","2011-2012","Male","Suspensions","Percent","-6666"
"Barkhamsted School District","","2012-2013","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2012-2013","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2013-2014","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2013-2014","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2014-2015","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2014-2015","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2015-2016","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2015-2016","Male","Suspensions","Percent","-6666"
"Barkhamsted School District","","2016-2017","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2016-2017","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2017-2018","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2017-2018","Male","Suspensions","Percent","-6666"
"Barkhamsted School District","","2018-2019","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2018-2019","Male","Suspensions","Percent","-9999"
"Barkhamsted School District","","2019-2020","Female","Suspensions","Percent","-6666"
"Barkhamsted School District","","2019-2020","Male","Suspensions","Percent","-9999"
"Berlin School District","","2009-2010","Female","Suspensions","Percent","3.6"
"Berlin School District","","2009-2010","Male","Suspensions","Percent","9.7"
"Berlin School District","","2010-2011","Female","Suspensions","Percent","4.6"
"Berlin School District","","2010-2011","Male","Suspensions","Percent","8.8"
"Berlin School District","","2011-2012","Female","Suspensions","Percent","3.3"
"Berlin School District","","2011-2012","Male","Suspensions","Percent","7.4"
"Berlin School District","","2012-2013","Female","Suspensions","Percent","2.3"
"Berlin School District","","2012-2013","Male","Suspensions","Percent","4.8"
"Berlin School District","","2013-2014","Female","Suspensions","Percent","2.0"
"Berlin School District","","2013-2014","Male","Suspensions","Percent","4.9"
"Berlin School District","","2014-2015","Female","Suspensions","Percent","2.4"
"Berlin School District","","2014-2015","Male","Suspensions","Percent","4.3"
"Berlin School District","","2015-2016","Female","Suspensions","Percent","1.2"
"Berlin School District","","2015-2016","Male","Suspensions","Percent","4.8"
"Berlin School District","","2016-2017","Female","Suspensions","Percent","0.8"
"Berlin School District","","2016-2017","Male","Suspensions","Percent","4.6"
"Berlin School District","","2017-2018","Female","Suspensions","Percent","0.5"
"Berlin School District","","2017-2018","Male","Suspensions","Percent","6.3"
"Berlin School District","","2018-2019","Female","Suspensions","Percent","2.3"
"Berlin School District","","2018-2019","Male","Suspensions","Percent","7.0"
"Berlin School District","","2019-2020","Female","Suspensions","Percent","1.6"
"Berlin School District","","2019-2020","Male","Suspensions","Percent","4.0"
"Bethany School District","","2009-2010","Female","Suspensions","Percent","-6666"
"Bethany School District","","2009-2010","Male","Suspensions","Percent","-9999"
"Bethany School District","","2010-2011","Female","Suspensions","Percent","-6666"
"Bethany School District","","2010-2011","Male","Suspensions","Percent","2.2"
"Bethany School District","","2011-2012","Female","Suspensions","Percent","-9999"
"Bethany School District","","2011-2012","Male","Suspensions","Percent","-9999"
"Bethany School District","","2012-2013","Female","Suspensions","Percent","-6666"
"Bethany School District","","2012-2013","Male","Suspensions","Percent","-9999"
"Bethany School District","","2013-2014","Female","Suspensions","Percent","-6666"
"Bethany School District","","2013-2014","Male","Suspensions","Percent","-9999"
"Bethany School District","","2014-2015","Female","Suspensions","Percent","-6666"
"Bethany School District","","2014-2015","Male","Suspensions","Percent","-9999"
"Bethany School District","","2015-2016","Female","Suspensions","Percent","-9999"
"Bethany School District","","2015-2016","Male","Suspensions","Percent","-9999"
"Bethany School District","","2016-2017","Female","Suspensions","Percent","-9999"
"Bethany School District","","2016-2017","Male","Suspensions","Percent","-6666"
"Bethany School District","","2017-2018","Female","Suspensions","Percent","-6666"
"Bethany School District","","2017-2018","Male","Suspensions","Percent","-9999"
"Bethany School District","","2018-2019","Female","Suspensions","Percent","-6666"
"Bethany School District","","2018-2019","Male","Suspensions","Percent","3.3"
"Bethany School District","","2019-2020","Female","Suspensions","Percent","-6666"
"Bethany School District","","2019-2020","Male","Suspensions","Percent","-9999"
"Bethel School District","900104720","2009-2010","Female","Suspensions","Percent","5.2"
"Bethel School District","900104720","2009-2010","Male","Suspensions","Percent","9.0"
"Bethel School District","900104720","2010-2011","Female","Suspensions","Percent","4.2"
"Bethel School District","900104720","2010-2011","Male","Suspensions","Percent","7.7"
"Bethel School District","900104720","2011-2012","Female","Suspensions","Percent","4.9"
"Bethel School District","900104720","2011-2012","Male","Suspensions","Percent","7.9"
"Bethel School District","900104720","2012-2013","Female","Suspensions","Percent","5.1"
"Bethel School District","900104720","2012-2013","Male","Suspensions","Percent","9.0"
"Bethel School District","900104720","2013-2014","Female","Suspensions","Percent","4.3"
"Bethel School District","900104720","2013-2014","Male","Suspensions","Percent","8.9"
"Bethel School District","900104720","2014-2015","Female","Suspensions","Percent","4.2"
"Bethel School District","900104720","2014-2015","Male","Suspensions","Percent","9.9"
"Bethel School District","900104720","2015-2016","Female","Suspensions","Percent","3.3"
"Bethel School District","900104720","2015-2016","Male","Suspensions","Percent","9.9"
"Bethel School District","900104720","2016-2017","Female","Suspensions","Percent","3.1"
"Bethel School District","900104720","2016-2017","Male","Suspensions","Percent","11.2"
"Bethel School District","900104720","2017-2018","Female","Suspensions","Percent","3.9"
"Bethel School District","900104720","2017-2018","Male","Suspensions","Percent","9.9"
"Bethel School District","900104720","2018-2019","Female","Suspensions","Percent","2.9"
"Bethel School District","900104720","2018-2019","Male","Suspensions","Percent","8.8"
"Bethel School District","900104720","2019-2020","Female","Suspensions","Percent","1.7"
"Bethel School District","900104720","2019-2020","Male","Suspensions","Percent","5.9"
"Bloomfield School District","900305910","2009-2010","Female","Suspensions","Percent","10.0"
"Bloomfield School District","900305910","2009-2010","Male","Suspensions","Percent","17.6"
"Bloomfield School District","900305910","2010-2011","Female","Suspensions","Percent","8.6"
"Bloomfield School District","900305910","2010-2011","Male","Suspensions","Percent","15.9"
"Bloomfield School District","900305910","2011-2012","Female","Suspensions","Percent","8.3"
"Bloomfield School District","900305910","2011-2012","Male","Suspensions","Percent","17.4"
"Bloomfield School District","900305910","2012-2013","Female","Suspensions","Percent","8.3"
"Bloomfield School District","900305910","2012-2013","Male","Suspensions","Percent","16.5"
"Bloomfield School District","900305910","2013-2014","Female","Suspensions","Percent","8.6"
"Bloomfield School District","900305910","2013-2014","Male","Suspensions","Percent","18.7"
"Bloomfield School District","900305910","2014-2015","Female","Suspensions","Percent","7.5"
"Bloomfield School District","900305910","2014-2015","Male","Suspensions","Percent","14.2"
"Bloomfield School District","900305910","2015-2016","Female","Suspensions","Percent","7.7"
"Bloomfield School District","900305910","2015-2016","Male","Suspensions","Percent","18.2"
"Bloomfield School District","900305910","2016-2017","Female","Suspensions","Percent","8.2"
"Bloomfield School District","900305910","2016-2017","Male","Suspensions","Percent","14.0"
"Bloomfield School District","900305910","2017-2018","Female","Suspensions","Percent","7.7"
"Bloomfield School District","900305910","2017-2018","Male","Suspensions","Percent","14.1"
"Bloomfield School District","900305910","2018-2019","Female","Suspensions","Percent","9.0"
"Bloomfield School District","900305910","2018-2019","Male","Suspensions","Percent","15.8"
"Bloomfield School District","900305910","2019-2020","Female","Suspensions","Percent","7.4"
"Bloomfield School District","900305910","2019-2020","Male","Suspensions","Percent","12.1"
"Bolton School District","901306260","2009-2010","Female","Suspensions","Percent","1.7"
"Bolton School District","901306260","2009-2010","Male","Suspensions","Percent","4.2"
"Bolton School District","901306260","2010-2011","Female","Suspensions","Percent","1.5"
"Bolton School District","901306260","2010-2011","Male","Suspensions","Percent","5.5"
"Bolton School District","901306260","2011-2012","Female","Suspensions","Percent","1.5"
"Bolton School District","901306260","2011-2012","Male","Suspensions","Percent","3.9"
"Bolton School District","901306260","2012-2013","Female","Suspensions","Percent","2.0"
"Bolton School District","901306260","2012-2013","Male","Suspensions","Percent","4.0"
"Bolton School District","901306260","2013-2014","Female","Suspensions","Percent","1.4"
"Bolton School District","901306260","2013-2014","Male","Suspensions","Percent","4.5"
"Bolton School District","901306260","2014-2015","Female","Suspensions","Percent","2.6"
"Bolton School District","901306260","2014-2015","Male","Suspensions","Percent","6.7"
"Bolton School District","901306260","2015-2016","Female","Suspensions","Percent","2.7"
"Bolton School District","901306260","2015-2016","Male","Suspensions","Percent","6.0"
"Bolton School District","901306260","2016-2017","Female","Suspensions","Percent","2.1"
"Bolton School District","901306260","2016-2017","Male","Suspensions","Percent","3.8"
"Bolton School District","901306260","2017-2018","Female","Suspensions","Percent","2.9"
"Bolton School District","901306260","2017-2018","Male","Suspensions","Percent","4.6"
"Bolton School District","901306260","2018-2019","Female","Suspensions","Percent","1.7"
"Bolton School District","901306260","2018-2019","Male","Suspensions","Percent","4.2"
"Bolton School District","901306260","2019-2020","Female","Suspensions","Percent","-9999"
"Bolton School District","901306260","2019-2020","Male","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2009-2010","Female","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2009-2010","Male","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2010-2011","Female","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2010-2011","Male","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2011-2012","Female","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2011-2012","Male","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","Female","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","Male","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","Female","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","Male","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2014-2015","Female","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2014-2015","Male","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2015-2016","Female","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2015-2016","Male","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2016-2017","Female","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2016-2017","Male","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2017-2018","Female","Suspensions","Percent","-6666"
"Booker T Washington Academy District","","2017-2018","Male","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2018-2019","Female","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2018-2019","Male","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2019-2020","Female","Suspensions","Percent","-9999"
"Booker T Washington Academy District","","2019-2020","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2009-2010","Female","Suspensions","Percent","-6666"
"Bozrah School District","","2009-2010","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2010-2011","Female","Suspensions","Percent","-6666"
"Bozrah School District","","2010-2011","Male","Suspensions","Percent","-6666"
"Bozrah School District","","2011-2012","Female","Suspensions","Percent","-9999"
"Bozrah School District","","2011-2012","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2012-2013","Female","Suspensions","Percent","-6666"
"Bozrah School District","","2012-2013","Male","Suspensions","Percent","5.0"
"Bozrah School District","","2013-2014","Female","Suspensions","Percent","-6666"
"Bozrah School District","","2013-2014","Male","Suspensions","Percent","5.5"
"Bozrah School District","","2014-2015","Female","Suspensions","Percent","-9999"
"Bozrah School District","","2014-2015","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2015-2016","Female","Suspensions","Percent","-9999"
"Bozrah School District","","2015-2016","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2016-2017","Female","Suspensions","Percent","-9999"
"Bozrah School District","","2016-2017","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2017-2018","Female","Suspensions","Percent","-6666"
"Bozrah School District","","2017-2018","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2018-2019","Female","Suspensions","Percent","-6666"
"Bozrah School District","","2018-2019","Male","Suspensions","Percent","-9999"
"Bozrah School District","","2019-2020","Female","Suspensions","Percent","-9999"
"Bozrah School District","","2019-2020","Male","Suspensions","Percent","-9999"
"Branford School District","900907310","2009-2010","Female","Suspensions","Percent","4.5"
"Branford School District","900907310","2009-2010","Male","Suspensions","Percent","9.8"
"Branford School District","900907310","2010-2011","Female","Suspensions","Percent","3.5"
"Branford School District","900907310","2010-2011","Male","Suspensions","Percent","10.3"
"Branford School District","900907310","2011-2012","Female","Suspensions","Percent","3.5"
"Branford School District","900907310","2011-2012","Male","Suspensions","Percent","8.5"
"Branford School District","900907310","2012-2013","Female","Suspensions","Percent","3.0"
"Branford School District","900907310","2012-2013","Male","Suspensions","Percent","6.4"
"Branford School District","900907310","2013-2014","Female","Suspensions","Percent","3.2"
"Branford School District","900907310","2013-2014","Male","Suspensions","Percent","8.7"
"Branford School District","900907310","2014-2015","Female","Suspensions","Percent","2.7"
"Branford School District","900907310","2014-2015","Male","Suspensions","Percent","7.2"
"Branford School District","900907310","2015-2016","Female","Suspensions","Percent","3.2"
"Branford School District","900907310","2015-2016","Male","Suspensions","Percent","8.2"
"Branford School District","900907310","2016-2017","Female","Suspensions","Percent","2.9"
"Branford School District","900907310","2016-2017","Male","Suspensions","Percent","7.7"
"Branford School District","900907310","2017-2018","Female","Suspensions","Percent","3.6"
"Branford School District","900907310","2017-2018","Male","Suspensions","Percent","7.9"
"Branford School District","900907310","2018-2019","Female","Suspensions","Percent","3.5"
"Branford School District","900907310","2018-2019","Male","Suspensions","Percent","7.9"
"Branford School District","900907310","2019-2020","Female","Suspensions","Percent","2.3"
"Branford School District","900907310","2019-2020","Male","Suspensions","Percent","4.9"
"Brass City Charter School District","","2009-2010","Female","Suspensions","Percent","-6666"
"Brass City Charter School District","","2009-2010","Male","Suspensions","Percent","-6666"
"Brass City Charter School District","","2010-2011","Female","Suspensions","Percent","-6666"
"Brass City Charter School District","","2010-2011","Male","Suspensions","Percent","-6666"
"Brass City Charter School District","","2011-2012","Female","Suspensions","Percent","-6666"
"Brass City Charter School District","","2011-2012","Male","Suspensions","Percent","-6666"
"Brass City Charter School District","","2012-2013","Female","Suspensions","Percent","-6666"
"Brass City Charter School District","","2012-2013","Male","Suspensions","Percent","-6666"
"Brass City Charter School District","","2013-2014","Female","Suspensions","Percent","-6666"
"Brass City Charter School District","","2013-2014","Male","Suspensions","Percent","-6666"
"Brass City Charter School District","","2014-2015","Female","Suspensions","Percent","-9999"
"Brass City Charter School District","","2014-2015","Male","Suspensions","Percent","-9999"
"Brass City Charter School District","","2015-2016","Female","Suspensions","Percent","-9999"
